id,patient_id,doctor_id,access_type,granted_at,expires_at,status,created_at,updated_at
02fa85cc-1141-4321-84fd-dcc3bb74a2d8,e609cdf5-1da8-4bfe-9e29-4313a474d3ab,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_consultation_notes,2025-09-29 05:53:54.153+00,2025-10-29 05:53:54.153+00,active,2025-09-29 14:57:14.242771+00,2025-09-29 14:57:14.242771+00
16fb63d8-ba02-4a6e-a2fe-0e4d89ff9881,889ae532-a602-433b-88b9-cd0323913135,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_records,2025-09-30 11:12:30.28+00,2025-10-30 11:12:30.048+00,active,2025-09-30 11:12:30.227092+00,2025-09-30 11:12:30.227092+00
4739b6f3-50bc-4242-855d-7431dec88592,889ae532-a602-433b-88b9-cd0323913135,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_records,2025-09-30 11:12:29.648+00,2025-10-30 11:12:29.414+00,active,2025-09-30 11:12:29.615389+00,2025-09-30 11:12:29.615389+00
663d0e19-297a-4166-a140-6eb98f216944,889ae532-a602-433b-88b9-cd0323913135,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_records,2025-09-30 11:12:29.469+00,2025-10-30 11:12:29.156+00,active,2025-09-30 11:12:29.54865+00,2025-09-30 11:12:29.54865+00
6f6974ff-2a85-49cf-9094-93475e58c779,e609cdf5-1da8-4bfe-9e29-4313a474d3ab,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_prescriptions,2025-09-29 05:53:54.153+00,2025-10-29 05:53:54.153+00,active,2025-09-29 14:57:13.937805+00,2025-09-29 14:57:13.937805+00
9a5406a9-a71e-4af5-8c17-154b5c38260e,889ae532-a602-433b-88b9-cd0323913135,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_records,2025-09-30 11:12:29.773+00,2025-10-30 11:12:29.6+00,active,2025-09-30 11:12:29.772327+00,2025-09-30 11:12:29.772327+00
bda28657-e35b-49ce-b584-d211b2979c72,889ae532-a602-433b-88b9-cd0323913135,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_records,2025-09-30 11:12:30.453+00,2025-10-30 11:12:30.281+00,active,2025-09-30 11:12:30.397795+00,2025-09-30 11:12:30.397795+00
eee32d21-70b9-4773-9813-62fdc19b3d60,e609cdf5-1da8-4bfe-9e29-4313a474d3ab,4e77d0cc-c61a-4aa1-9435-f294d8b29e4e,view_records,2025-09-29 05:53:54.153+00,2025-10-29 05:53:54.153+00,active,2025-09-29 14:57:13.644155+00,2025-09-29 14:57:13.644155+00
